time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1742899472.79867,970.2,108.835,0.0511999987,0.0171606652,0.0511999987,0.0131948916
1742899476.1669385,975.2,109.595,0.0511999987,0.0159083772,0.057599999,0.0127755068
1742899479.415815,980.1,110.345,0.0535999984,0.0129678957,0.0551999994,0.0134292124
1742899482.725155,985.1,111.105,0.0496000014,0.0163221117,0.057599999,0.0106818331
1742899486.2060773,990.1,111.86,0.0456000008,0.0136093237,0.0536000021,0.0113609983
1742899489.5481894,995.2,112.64,0.0544000007,0.0171201266,0.0568000004,0.0130216395
1742899492.8675222,1000.1,113.405,0.0544000007,0.0124879051,0.0551999994,0.0112212226
1742899496.359615,1005.1,114.165,0.0463999994,0.0172642861,0.0568000004,0.0115127983
1742899499.64777,1010.1,114.915,0.0511999987,0.0164235644,0.0551999994,0.0116657363
1742899502.9521887,1015.0,115.675,0.0471999981,0.0108146118,0.0592,0.0121548641
1742899506.35975,1020.1,116.445,0.0480000004,0.0171024185,0.0512000024,0.0123868836
1742899509.7937336,1025.1,117.205,0.0495999977,0.0174694359,0.0535999984,0.0135256965
1742899513.0826974,1030.1,117.965,0.0487999991,0.0123107228,0.0592,0.0121840807
1742899516.4277177,1035.1,118.73,0.0504000001,0.0170306768,0.057599999,0.011400627
1742899520.0871096,1040.1,119.49,0.0504000001,0.0168708749,0.0544000007,0.0132678021
1742899523.355702,1045.1,120.245,0.045599997,0.0121175861,0.0607999973,0.013106361
1742899526.7508676,1050.3,121.025,0.0496000014,0.0157803912,0.057599999,0.0136352899
1742899530.2841988,1055.2,121.78,0.0463999994,0.0111865848,0.055999998,0.0130367428
1742899533.6136823,1060.2,122.54,0.0495999977,0.0153296711,0.0535999984,0.0131724421
1742899536.8838525,1065.2,123.3,0.0496000014,0.0171224829,0.055999998,0.0110055218
1742899540.4755354,1070.2,124.06,0.0527999997,0.0166529231,0.054399997,0.012921812
1742899543.9455044,1075.2,124.825,0.0504000001,0.016369937,0.0551999994,0.0128845545
1742899547.4792416,1080.2,125.585,0.0456000008,0.0164388195,0.0560000017,0.01293422
1742899550.8298304,1085.2,126.345,0.0536000021,0.0120829819,0.0584000014,0.0131734172
1742899554.4393737,1090.1,127.1,0.0487999991,0.0122565366,0.0568000004,0.0115306368
1742899557.8558514,1095.1,127.86,0.0480000004,0.0174657535,0.0568000004,0.0119673125
1742899561.1825805,1100.2,128.635,0.0488000028,0.0170021784,0.0535999984,0.0137537336
1742899564.5248256,1105.1,129.385,0.0456000008,0.017476609,0.0607999973,0.0139552038
1742899567.85069,1110.1,130.15,0.0480000004,0.0119048106,0.0568000004,0.0138056492
1742899571.1515872,1115.1,130.905,0.0439999998,0.0156211322,0.0568000004,0.0132485172
1742899574.6234102,1120.1,131.665,0.0463999994,0.0162911862,0.0536000021,0.0133494092
1742899578.0963068,1125.1,132.44,0.0527999997,0.0133757787,0.0544000007,0.0109558515
1742899581.3577285,1130.1,133.19,0.0496000014,0.0113642663,0.0536000021,0.0113093946
