time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1741441530.276189,1685.1,217.635,0.0416000001,0.0109228613,0.0423999988,0.0097592101
1741441535.8371751,1690.0,218.375,0.0367999971,0.0112943333,0.0392000005,0.0111138849
1741441541.5711224,1694.7,219.155,0.0343999974,0.0103697572,0.0431999974,0.0100505408
1741441547.035935,1700.2,219.91,0.0344000012,0.0147245126,0.0423999988,0.0149309626
1741441552.5831602,1705.2,220.685,0.0383999981,0.0131414467,0.0383999981,0.0170989931
1741441558.114934,1710.1,221.43,0.0471999981,0.0100418134,0.0368000008,0.0106895985
1741441563.7774146,1715.1,222.175,0.0383999981,0.0103251273,0.0504000001,0.0098210769
1741441569.439871,1720.2,222.965,0.0432000011,0.0106595932,0.0496000014,0.0110952733
1741441574.969965,1725.1,223.705,0.0399999991,0.0099161491,0.0383999981,0.0172049254
1741441580.7219615,1730.3,224.5,0.0383999981,0.0110249743,0.0439999998,0.0103915371
1741441586.8528943,1735.3,225.255,0.0375999995,0.0120663773,0.0599999987,0.0108580617
1741441592.5424342,1740.2,226.015,0.0384000018,0.0106372656,0.0392000005,0.0097964685
1741441598.0936344,1745.2,226.76,0.0456000008,0.0122449826,0.0399999991,0.0094435876
1741441603.539689,1750.1,227.515,0.0423999988,0.0134964138,0.0408000015,0.0130346268
1741441609.9393764,1754.9,228.24,0.0439999998,0.0105642574,0.0360000022,0.0160624459
1741441615.591867,1760.2,229.055,0.0416000001,0.0120287547,0.0359999985,0.0121324314
1741441621.300416,1765.1,229.8,0.0416000001,0.0111822756,0.0384000018,0.0119859697
1741441626.9579928,1770.2,230.585,0.0460000038,0.0119058862,0.043999996,0.0119070793
1741441632.5121875,1775.2,231.33,0.0392000005,0.0111856721,0.0416000001,0.0106889559
1741441637.9954846,1780.1,232.085,0.0384000018,0.010366356,0.0487999991,0.0113006234
1741441643.5932777,1785.0,232.82,0.0391999967,0.0111400206,0.0472000018,0.0103111416
1741441649.1794734,1790.1,233.61,0.0392000005,0.0111301495,0.0383999981,0.0116910869
1741441654.7730954,1794.3,234.375,0.0399999991,0.0174516123,0.0544000007,0.0098787453
1741441660.3804603,1800.1,235.13,0.0423999988,0.0125675872,0.0408000015,0.0103958491
1741441666.5812387,1804.9,235.89,0.0519999973,0.0144769093,0.1760000139,0.0168409143
1741441672.5446587,1809.8,236.645,0.3600000143,0.0223889966,0.3599999845,0.0227096081
1741441678.6039839,1815.0,237.4,0.2880000174,0.018656604,0.4000000358,0.019972397
1741441684.6810057,1820.1,238.165,0.2999999821,0.0265584029,0.2639999986,0.018806316
1741441690.4129643,1825.1,238.93,0.5680000186,0.0213713162,0.2320000082,0.0158665907
1741441696.1317282,1829.9,239.685,0.380000025,0.0163984019,0.2639999986,0.0162580237
1741441702.4663324,1835.0,240.445,0.1840000153,0.0300638787,0.7920000553,0.0280912016
1741441708.2876668,1840.1,241.215,0.200000003,0.021254357,0.1840000153,0.0179492868
1741441714.227856,1844.4,241.985,0.3360000253,0.0193391703,0.5440000296,0.0186119359
1741441720.1753979,1849.9,242.735,0.3280000091,0.0284695122,0.2560000122,0.0225293022
1741441726.0854013,1855.0,243.48,0.3200000226,0.017945718,0.3199999928,0.0305915177
1741441732.216478,1860.1,244.27,0.3199999928,0.0172235873,0.719999969,0.021094501
1741441738.4179802,1865.1,245.025,0.2480000108,0.0190337207,0.2120000124,0.0187579673
1741441744.3784928,1870.0,245.775,0.2720000148,0.0234053768,0.4720000327,0.0304376502
